CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,76,-,-,-,-,-,750,"2,490.75","2,566.70","1,125","22,950.00","5,88,225",0.60,0.65,"3,73,125",-0.10,0.65,49.70,"68,667","4,452","46,139",
,395,-27,61,77.08,"2,492.10",34.10,75,"2,471.45","2,479.50",225,"23,000.00","1,06,950",0.65,0.70,"2,63,850",-0.20,0.65,49.13,"67,390","-6,478","24,472",
,6,-,-,-,-,-,750,"2,394.75","2,472.25",825,"23,050.00","48,600",0.70,0.75,"30,075",-0.20,0.75,48.85,"8,448",542,"2,913",
,9,-,-,-,-,-,750,"2,343.80","2,416.30",825,"23,100.00","67,125",0.70,0.75,"34,500",-0.20,0.70,47.89,"6,373",415,"5,299",
,5,-,-,-,-,-,750,"2,290.10","2,374.35",750,"23,150.00","36,225",0.70,0.80,"24,900",-0.20,0.80,46.61,"3,272",456,"2,052",
,11,-,-,-,-,-,750,"2,230.65","2,321.45",750,"23,200.00","37,425",0.70,0.75,"49,275",-0.20,0.75,45.66,"6,878",-2,"4,597",
,3,-,-,-,-,-,750,"2,192.20","2,281.30",750,"23,250.00","29,475",0.75,0.80,"27,600",-0.30,0.75,45.01,"2,180",495,"2,049",
,26,-,-,-,-,-,750,"2,150.10","2,220.50",750,"23,300.00","15,000",0.75,0.80,"40,500",-0.25,0.80,44.33,"4,259",-351,"4,554",
,4,-,-,-,-,-,750,"2,089.85","2,175.60",750,"23,350.00","21,975",0.80,0.85,"13,500",-0.30,0.80,43.64,"2,393",168,"1,351",
,24,-,-,-,-,-,975,"2,048.00","2,111.40",750,"23,400.00","61,125",0.80,0.85,"63,000",-0.40,0.85,42.67,"8,554",-268,"10,182",
,6,-,-,-,-,-,750,"1,984.65","2,070.95",750,"23,450.00","17,925",0.80,0.85,"37,200",-0.30,0.85,41.44,"5,893",-558,"2,014",
,304,-23,37,55.88,"1,982.00",22.00,75,"1,972.25","1,978.15",75,"23,500.00","1,15,050",0.85,0.90,"1,35,375",-0.40,0.90,40.73,"34,159",-651,"31,602",
,28,-3,10,-,"1,908.00",-2.75,75,"1,917.05","1,934.45",375,"23,550.00","44,925",0.85,0.90,"18,000",-0.45,0.85,40.00,"4,182",83,"1,363",
,20,-,11,55.03,"1,884.00",14.00,75,"1,870.35","1,889.10",75,"23,600.00","79,200",0.90,0.95,"76,800",-0.45,0.95,39.03,"18,898",435,"11,220",
,4,-,-,-,-,-,750,"1,782.30","1,870.50",750,"23,650.00","24,900",0.90,0.95,"19,200",-0.50,0.95,38.27,"4,587",-6,"1,403",
,35,-,-,-,-,-,750,"1,741.00","1,822.35",750,"23,700.00","73,050",0.90,0.95,"82,050",-0.55,0.90,37.29,"22,145","-1,445","7,811",
,7,-1,2,49.53,"1,732.00",37.50,75,"1,717.55","1,776.60",750,"23,750.00","29,775",0.90,0.95,"21,150",-0.55,0.95,36.32,"5,725",31,"2,779",
,136,-,-,-,-,-,750,"1,649.90","1,713.50","1,125","23,800.00","95,250",0.90,0.95,"35,850",-0.65,0.90,35.34,"16,942","-2,795","9,459",
,5,-,-,-,-,-,750,"1,582.90","1,670.35",750,"23,850.00","30,075",0.95,1.00,"31,050",-0.65,0.95,34.36,"9,595",727,"2,688",
,298,2,21,-,"1,560.75",-17.40,600,"1,571.20","1,580.45",75,"23,900.00","60,450",0.95,1.00,"62,625",-0.70,0.95,33.38,"31,495","-2,007","12,681",
,11,-,-,-,-,-,750,"1,484.35","1,582.30",750,"23,950.00","48,300",1.00,1.05,"36,525",-0.70,1.05,32.76,"15,302",-197,"3,834",
,793,-677,976,42.05,"1,475.70",5.10,75,"1,474.55","1,479.55",150,"24,000.00","99,375",1.05,1.10,"2,17,350",-0.75,1.05,31.77,"2,19,822","-18,164","65,364",
,14,-,1,-,"1,400.85",92.70,75,"1,423.60","1,429.35",75,"24,050.00","51,975",1.05,1.10,"40,275",-0.85,1.05,30.78,"20,116",-869,"3,852",
,107,-2,36,-,"1,356.00",-14.00,150,"1,374.25","1,383.55",75,"24,100.00","97,575",1.00,1.05,"1,43,400",-0.90,1.05,29.62,"77,531","-1,972","18,270",
,24,-,-,-,-,-,750,"1,299.65","1,353.65",750,"24,150.00","64,950",1.05,1.10,"33,000",-0.95,1.10,28.79,"30,848",-661,"4,878",
,171,-13,43,39.02,"1,283.45",5.60,75,"1,274.10","1,279.25",75,"24,200.00","1,08,150",1.05,1.10,"97,200",-1.10,1.05,27.80,"1,30,233","-2,873","41,386",
,13,1,2,34.40,"1,229.00",14.85,75,"1,225.50","1,230.05",75,"24,250.00","53,925",1.10,1.15,"49,425",-1.20,1.10,27.09,"44,031",-245,"8,449",
,192,-7,18,36.11,"1,183.00",25.00,75,"1,174.45","1,179.15",150,"24,300.00","2,28,075",1.15,1.20,"1,49,700",-1.35,1.15,26.09,"1,72,577","-16,095","33,768",
,15,-1,36,33.10,"1,130.50",12.45,150,"1,126.25","1,130.05",75,"24,350.00","66,900",1.25,1.30,"34,650",-1.40,1.30,25.33,"34,466","-1,346","5,067",
,220,-8,136,34.66,"1,085.00",17.05,75,"1,076.45","1,079.15",75,"24,400.00","1,14,900",1.40,1.45,"1,05,450",-1.45,1.40,24.76,"1,82,585","21,984","58,276",
,39,-,-,-,-,-,"1,050","1,007.55","1,047.35",750,"24,450.00","66,825",1.50,1.55,"1,00,200",-1.65,1.50,23.83,"67,794","1,943","10,957",
,"2,095",-69,613,27.38,979.65,8.10,75,977.50,979.60,75,"24,500.00","1,06,050",1.55,1.60,"1,81,875",-1.95,1.55,22.88,"3,11,594","-3,930","74,671",
,15,11,80,31.19,936.20,25.40,75,925.90,930.75,150,"24,550.00","82,050",1.65,1.70,"96,000",-2.10,1.70,22.02,"93,876","-1,134","7,031",
